,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta[12, 1]",-0.06,0.23,-0.5,0.38,0.01,0.0,1107.53,1436.35,1.0
"beta[12, 2]",-1.39,0.33,-1.96,-0.77,0.01,0.01,1540.6,1572.49,1.0
"beta[13, 0]",-1.04,0.32,-1.67,-0.47,0.01,0.01,1007.46,1185.33,1.0
"beta[13, 1]",-0.69,0.3,-1.24,-0.11,0.01,0.01,1015.7,799.27,1.0
"beta[13, 2]",0.55,0.3,-0.03,1.1,0.01,0.01,806.06,1246.44,1.0
"beta[14, 0]",0.61,0.25,0.17,1.09,0.01,0.01,1182.34,1172.24,1.0
"beta[14, 1]",0.24,0.22,-0.14,0.67,0.01,0.0,1218.62,1426.25,1.0
"beta[14, 2]",0.03,0.24,-0.42,0.49,0.01,0.01,903.54,1252.02,1.0
"beta[15, 0]",-0.5,0.29,-1.01,0.07,0.01,0.01,1166.18,1149.24,1.0
"beta[15, 1]",-0.07,0.25,-0.51,0.42,0.01,0.01,1087.41,1187.67,1.01
"beta[15, 2]",-1.1,0.33,-1.7,-0.5,0.01,0.01,1463.84,1387.2,1.0
"beta[16, 0]",0.62,0.28,0.13,1.18,0.01,0.01,1244.0,915.2,1.0
"beta[16, 1]",0.49,0.24,0.02,0.93,0.01,0.01,1288.47,1089.45,1.0
"beta[16, 2]",-0.84,0.3,-1.43,-0.32,0.01,0.01,1187.05,1236.43,1.0
"beta[17, 0]",0.48,0.24,-0.0,0.89,0.01,0.0,1506.89,1498.78,1.0
"beta[17, 1]",0.32,0.22,-0.09,0.73,0.01,0.0,1066.09,1136.15,1.0
"beta[17, 2]",0.57,0.24,0.13,1.01,0.01,0.0,1353.93,1332.31,1.0
"beta[18, 0]",0.99,0.26,0.53,1.51,0.01,0.0,1655.19,1414.51,1.0
"beta[18, 1]",0.95,0.27,0.46,1.43,0.01,0.01,1411.92,1212.89,1.0
"beta[18, 2]",0.25,0.23,-0.15,0.71,0.01,0.0,1601.43,1342.87,1.0
"beta[19, 0]",-0.15,0.27,-0.65,0.4,0.01,0.01,1083.18,1204.8,1.0
"beta[19, 1]",-1.28,0.3,-1.85,-0.72,0.01,0.01,1362.85,1378.25,1.0
"beta[19, 2]",-0.65,0.28,-1.14,-0.08,0.01,0.01,1282.8,1298.91,1.0
"beta[20, 0]",-0.5,0.25,-0.99,-0.05,0.01,0.0,1575.53,1457.09,1.0
"beta[20, 1]",-0.85,0.25,-1.35,-0.41,0.01,0.0,1856.45,1503.22,1.0
"beta[20, 2]",-0.26,0.23,-0.69,0.17,0.01,0.0,1651.34,1466.48,1.0
"beta[21, 0]",0.63,0.24,0.19,1.1,0.01,0.0,1958.64,1388.76,1.0
"beta[21, 1]",0.62,0.22,0.24,1.06,0.0,0.0,1882.07,1364.0,1.0
"beta[21, 2]",0.43,0.24,-0.05,0.86,0.01,0.0,2309.76,1461.64,1.0
"beta[22, 0]",0.19,0.24,-0.3,0.62,0.01,0.0,1510.68,1373.06,1.0
"beta[22, 1]",0.1,0.21,-0.3,0.5,0.01,0.01,1439.54,1120.24,1.0
"beta[22, 2]",-0.53,0.24,-0.98,-0.07,0.01,0.0,1689.29,1593.32,1.0
"beta[23, 0]",0.89,0.28,0.35,1.39,0.01,0.01,1517.14,1314.1,1.0
"beta[23, 1]",-0.74,0.25,-1.19,-0.28,0.01,0.0,1728.51,1522.17,1.0
"beta[23, 2]",-0.92,0.27,-1.43,-0.41,0.01,0.0,1692.22,1356.64,1.0
